ID	beta value	detection p-value	normalized beta value
cg25705492	0.307506053268765	0.0645571026061052	0.36056338028169
cg25756647	0.309090909090909	0.0279986183681943	0.35880829015544
cg26058907	0.543478260869565	0.00823817240672181	0.589975349219392
cg26517491	0.410652920962199	0.0468683772798206	0.458831341301461
cg26520468	0.958825310323948	0	0.951346914409372
cg26983430	0.226027397260274	0.0235166303342993	0.264598540145985
cg26983535	0.39514348785872	0.0116939404428703	0.447257383966245
cg27049643	0.322147651006711	0.73794378267335	0.37007874015748
cg27433982	0.264705882352941	0.440426949088758	0.302217036172695
cg27539833	0.918095238095238	0	0.90625
cg00008945	0.339782472286133	0	0.366345590974403
cg00011200	0.494327692021573	0	0.511387649683024
cg00011891	0.461844655109202	0	0.474106895596788
cg00014152	0.943008935039845	0	0.935351695879809
cg00016522	0.518349289237018	0	0.532605023088186
